expand,id,self,key,fields.summary,fields.issuetype.self,fields.issuetype.id,fields.issuetype.description,fields.issuetype.iconUrl,fields.issuetype.name,fields.issuetype.subtask,fields.issuetype.avatarId,fields.resolutiondate,fields.created,fields.description,fields.assignee,fields.resolution,fields.updated,fields.status.self,fields.status.description,fields.status.iconUrl,fields.status.name,fields.status.id,fields.status.statusCategory.self,fields.status.statusCategory.id,fields.status.statusCategory.key,fields.status.statusCategory.colorName,fields.status.statusCategory.name,fields.assignee.self,fields.assignee.name,fields.assignee.key,fields.assignee.avatarUrls.48x48,fields.assignee.avatarUrls.24x24,fields.assignee.avatarUrls.16x16,fields.assignee.avatarUrls.32x32,fields.assignee.displayName,fields.assignee.active,fields.assignee.timeZone,fields.resolution.self,fields.resolution.id,fields.resolution.description,fields.resolution.name,created,resolved
"operations,versionedRepresentations,editmeta,changelog,renderedFields",13110141,https://issues.apache.org/jira/rest/api/2/issue/13110141,BOOKKEEPER-1107,Make Apache Bookkeeper JIRA read-only,https://issues.apache.org/jira/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Bug,False,21133.0,,2017-10-17T21:54:33.000+0000,"We have migrated our issues to github, so could you please make JIRA read-only so we don't miss anything.

I've already updated the banner.

Github issues are at: https://github.com/apache/bookkeeper/issues",,,2017-10-17T21:54:33.000+0000,https://issues.apache.org/jira/rest/api/2/status/1,The issue is open and ready for the assignee to start work on it.,https://issues.apache.org/jira/images/icons/statuses/open.png,Open,1,https://issues.apache.org/jira/rest/api/2/statuscategory/2,2,new,blue-gray,To Do,,,,,,,,,,,,,,,2017-10-17 21:54:33+00:00,
"operations,versionedRepresentations,editmeta,changelog,renderedFields",13102785,https://issues.apache.org/jira/rest/api/2/issue/13102785,BOOKKEEPER-1106,Ledger eviction should not impact write performance,https://issues.apache.org/jira/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Bug,False,21133.0,,2017-09-16T17:01:29.000+0000,"When read behind happens, it would quickly read bunch of ledgers, which will evict current active ledgers for writing from the ledger cache. with the ledger being evicted from cache, it would impact the write performance.

In order to address this issue, we should separate write FileInfo and read FileInfo in the cache.",,,2017-10-17T21:24:25.000+0000,https://issues.apache.org/jira/rest/api/2/status/3,This issue is being actively worked on at the moment by the assignee.,https://issues.apache.org/jira/images/icons/statuses/inprogress.png,In Progress,3,https://issues.apache.org/jira/rest/api/2/statuscategory/4,4,indeterminate,yellow,In Progress,https://issues.apache.org/jira/rest/api/2/user?username=yzang,yzang,yzang,https://issues.apache.org/jira/secure/useravatar?avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=small&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=xsmall&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=medium&avatarId=10452,Yiming Zang,True,Etc/UTC,,,,,2017-09-16 17:01:29+00:00,
"operations,versionedRepresentations,editmeta,changelog,renderedFields",13093560,https://issues.apache.org/jira/rest/api/2/issue/13093560,BOOKKEEPER-1105,RackAwarePolicy: Failure to map node into rack may result in failure to add other nodes.,https://issues.apache.org/jira/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Bug,False,21133.0,2017-08-16T01:42:23.000+0000,2017-08-09T18:25:48.000+0000,"Ran into this issue:
due to some misconfiguration of new node and rack assignments we've ended up with nodes being assigned to default rack. We are not using region-aware, only rack-aware policy.
This generates the following sequence of events:
- default rack is /default-region/default-rack even though region-aware is not used.
- other nodes mapped to racks like /rack1, /rack2 etc.
- mixing /region/rack and /rack styles is not allowed, but exception on addition of such nodes is swallowed. All following nodes to add (if there were any) just skipped as result.",,,2017-08-16T13:31:54.000+0000,https://issues.apache.org/jira/rest/api/2/status/5,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",https://issues.apache.org/jira/images/icons/statuses/resolved.png,Resolved,5,https://issues.apache.org/jira/rest/api/2/statuscategory/3,3,done,green,Done,https://issues.apache.org/jira/rest/api/2/user?username=ayegorov,ayegorov,ayegorov,https://issues.apache.org/jira/secure/useravatar?avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=small&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=xsmall&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=medium&avatarId=10452,Andrey Yegorov,True,America/Los_Angeles,https://issues.apache.org/jira/rest/api/2/resolution/1,1.0,A fix for this issue is checked into the tree and tested.,Fixed,2017-08-09 18:25:48+00:00,2017-08-16 01:42:23+00:00
"operations,versionedRepresentations,editmeta,changelog,renderedFields",13090630,https://issues.apache.org/jira/rest/api/2/issue/13090630,BOOKKEEPER-1104,BookieInitializationTest.testWithDiskFullAndAbilityToCreateNewIndexFile testcase is unreliable,https://issues.apache.org/jira/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Bug,False,21133.0,2017-07-28T04:39:44.000+0000,2017-07-27T21:53:15.000+0000,"The bug is that the test sets the full threshhold really close the actual usage (though just below), and if the disk is otherwise in use, the usage can fall below that threshhold during the test.  Instead, just set it to .001 since that's not what we're testing here anyway.
",,,2017-07-28T13:52:49.000+0000,https://issues.apache.org/jira/rest/api/2/status/5,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",https://issues.apache.org/jira/images/icons/statuses/resolved.png,Resolved,5,https://issues.apache.org/jira/rest/api/2/statuscategory/3,3,done,green,Done,https://issues.apache.org/jira/rest/api/2/user?username=sjust2,sjust2,sjust2,https://issues.apache.org/jira/secure/useravatar?avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=small&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=xsmall&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=medium&avatarId=10452,Samuel Just,True,Etc/UTC,https://issues.apache.org/jira/rest/api/2/resolution/1,1.0,A fix for this issue is checked into the tree and tested.,Fixed,2017-07-27 21:53:15+00:00,2017-07-28 04:39:44+00:00
"operations,versionedRepresentations,editmeta,changelog,renderedFields",13090345,https://issues.apache.org/jira/rest/api/2/issue/13090345,BOOKKEEPER-1103,LedgerMetadataCreateTest bug in ledger id generation causes intermittent hang,https://issues.apache.org/jira/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Bug,False,21133.0,2017-07-28T20:35:16.000+0000,2017-07-26T21:39:06.000+0000,,,,2017-07-29T14:01:01.000+0000,https://issues.apache.org/jira/rest/api/2/status/5,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",https://issues.apache.org/jira/images/icons/statuses/resolved.png,Resolved,5,https://issues.apache.org/jira/rest/api/2/statuscategory/3,3,done,green,Done,https://issues.apache.org/jira/rest/api/2/user?username=sjust2,sjust2,sjust2,https://issues.apache.org/jira/secure/useravatar?avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=small&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=xsmall&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=medium&avatarId=10452,Samuel Just,True,Etc/UTC,https://issues.apache.org/jira/rest/api/2/resolution/1,1.0,A fix for this issue is checked into the tree and tested.,Fixed,2017-07-26 21:39:06+00:00,2017-07-28 20:35:16+00:00
"operations,versionedRepresentations,editmeta,changelog,renderedFields",13089196,https://issues.apache.org/jira/rest/api/2/issue/13089196,BOOKKEEPER-1102,org.apache.bookkeeper.client.BookKeeperDiskSpaceWeightedLedgerPlacementTest.testDiskSpaceWeightedBookieSelectionWithBookiesBeingAdded is unreliable,https://issues.apache.org/jira/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Bug,False,21133.0,2017-08-01T06:40:46.000+0000,2017-07-22T00:47:20.000+0000,"org.apache.bookkeeper.client.BookKeeperDiskSpaceWeightedLedgerPlacementTest.testDiskSpaceWeightedBookieSelectionWithBookiesBeingAdded can intermittently fail depending on the timing of the client receiving the info back from the bookies.

Additionally, the synchronization in BookieInfoReader is more complicated than necessary and not entirely correct.",,,2017-08-01T13:56:11.000+0000,https://issues.apache.org/jira/rest/api/2/status/5,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",https://issues.apache.org/jira/images/icons/statuses/resolved.png,Resolved,5,https://issues.apache.org/jira/rest/api/2/statuscategory/3,3,done,green,Done,https://issues.apache.org/jira/rest/api/2/user?username=sjust2,sjust2,sjust2,https://issues.apache.org/jira/secure/useravatar?avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=small&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=xsmall&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=medium&avatarId=10452,Samuel Just,True,Etc/UTC,https://issues.apache.org/jira/rest/api/2/resolution/1,1.0,A fix for this issue is checked into the tree and tested.,Fixed,2017-07-22 00:47:20+00:00,2017-08-01 06:40:46+00:00
"operations,versionedRepresentations,editmeta,changelog,renderedFields",13088111,https://issues.apache.org/jira/rest/api/2/issue/13088111,BOOKKEEPER-1101,BookKeeper website menus not working under https,https://issues.apache.org/jira/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Bug,False,21133.0,2017-07-19T03:50:20.000+0000,2017-07-19T02:35:58.000+0000,"the 'Documentation', 'Get Involved' and 'Project Info' drop down menus
on https://bookkeeper.apache.org site are not working.

",,,2017-07-19T03:50:20.000+0000,https://issues.apache.org/jira/rest/api/2/status/5,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",https://issues.apache.org/jira/images/icons/statuses/resolved.png,Resolved,5,https://issues.apache.org/jira/rest/api/2/statuscategory/3,3,done,green,Done,https://issues.apache.org/jira/rest/api/2/user?username=zhaijia,zhaijia,zhaijia,https://issues.apache.org/jira/secure/useravatar?ownerId=zhaijia&avatarId=21925,https://issues.apache.org/jira/secure/useravatar?size=small&ownerId=zhaijia&avatarId=21925,https://issues.apache.org/jira/secure/useravatar?size=xsmall&ownerId=zhaijia&avatarId=21925,https://issues.apache.org/jira/secure/useravatar?size=medium&ownerId=zhaijia&avatarId=21925,Jia Zhai,True,Asia/Shanghai,https://issues.apache.org/jira/rest/api/2/resolution/1,1.0,A fix for this issue is checked into the tree and tested.,Fixed,2017-07-19 02:35:58+00:00,2017-07-19 03:50:20+00:00
"operations,versionedRepresentations,editmeta,changelog,renderedFields",13082346,https://issues.apache.org/jira/rest/api/2/issue/13082346,BOOKKEEPER-1100,Add Http Endpoint for Bookkeeper,https://issues.apache.org/jira/rest/api/2/issuetype/2,2,"A new feature of the product, which has yet to be developed.",https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21141&avatarType=issuetype,New Feature,False,21141.0,2017-08-16T01:37:33.000+0000,2017-06-25T00:59:05.000+0000,"Add a Http Server Component for Bookkeeper.

It would be great that Bookkeeper can have an Http Server to expose some useful APIs. We can expose and manage the server status, server configuration, lifecycle states, query or trigger auto recovery through HTTP Endpoint, or even trigger GC and compaction over Http Endpoint.

This ticket is mainly to add a Http framework for Bookkeeper, so that we can extend more useful APIs based on the existing Http framework.",,,2017-08-16T13:31:53.000+0000,https://issues.apache.org/jira/rest/api/2/status/5,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",https://issues.apache.org/jira/images/icons/statuses/resolved.png,Resolved,5,https://issues.apache.org/jira/rest/api/2/statuscategory/3,3,done,green,Done,https://issues.apache.org/jira/rest/api/2/user?username=yzang,yzang,yzang,https://issues.apache.org/jira/secure/useravatar?avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=small&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=xsmall&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=medium&avatarId=10452,Yiming Zang,True,Etc/UTC,https://issues.apache.org/jira/rest/api/2/resolution/1,1.0,A fix for this issue is checked into the tree and tested.,Fixed,2017-06-25 00:59:05+00:00,2017-08-16 01:37:33+00:00
"operations,versionedRepresentations,editmeta,changelog,renderedFields",13081597,https://issues.apache.org/jira/rest/api/2/issue/13081597,BOOKKEEPER-1099,Make bookie automatically create folders on new machine.,https://issues.apache.org/jira/rest/api/2/issuetype/4,4,An improvement or enhancement to an existing feature or task.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21140&avatarType=issuetype,Improvement,False,21140.0,,2017-06-21T23:20:51.000+0000,When bookie start and found it need run bookie format to create folders it should do that automatically. That way will make new machine deployment and machine replacement process much simpler without manually call the bookieformat command.,,,2017-10-17T21:25:47.000+0000,https://issues.apache.org/jira/rest/api/2/status/1,The issue is open and ready for the assignee to start work on it.,https://issues.apache.org/jira/images/icons/statuses/open.png,Open,1,https://issues.apache.org/jira/rest/api/2/statuscategory/2,2,new,blue-gray,To Do,,,,,,,,,,,,,,,2017-06-21 23:20:51+00:00,
"operations,versionedRepresentations,editmeta,changelog,renderedFields",13079900,https://issues.apache.org/jira/rest/api/2/issue/13079900,BOOKKEEPER-1098,ZkUnderreplicationManager can build up an unbounded number of watchers,https://issues.apache.org/jira/rest/api/2/issuetype/1,1,A problem which impairs or prevents the functions of the product.,https://issues.apache.org/jira/secure/viewavatar?size=xsmall&avatarId=21133&avatarType=issuetype,Bug,False,21133.0,2017-06-28T21:30:12.000+0000,2017-06-14T22:26:20.000+0000,"getLedgerToReplicate leaves watches each time it traverses the
tree until it finds a suitable replication target.  Since we don't have
a way of canceling watches, these watches tend to get abandoned,
particularly on interior nodes, which aren't changed much.  Thus,
over time, some nodes would build up a very large number of watches.",,,2017-06-28T21:36:15.000+0000,https://issues.apache.org/jira/rest/api/2/status/5,"A resolution has been taken, and it is awaiting verification by reporter. From here issues are either reopened, or are closed.",https://issues.apache.org/jira/images/icons/statuses/resolved.png,Resolved,5,https://issues.apache.org/jira/rest/api/2/statuscategory/3,3,done,green,Done,https://issues.apache.org/jira/rest/api/2/user?username=sjust2,sjust2,sjust2,https://issues.apache.org/jira/secure/useravatar?avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=small&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=xsmall&avatarId=10452,https://issues.apache.org/jira/secure/useravatar?size=medium&avatarId=10452,Samuel Just,True,Etc/UTC,https://issues.apache.org/jira/rest/api/2/resolution/1,1.0,A fix for this issue is checked into the tree and tested.,Fixed,2017-06-14 22:26:20+00:00,2017-06-28 21:30:12+00:00
